Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close(Rs.),Trade Volume,Share Volume,Turnover(Rs.)
2018-06-07,66.00,67.00,66.00,67.00,47,39929,2665269.50
2018-06-06,66.00,66.00,65.80,65.90,14,3058,201785.00
2018-06-05,65.70,66.00,65.70,66.00,9,960,63353.40
2018-06-04,65.50,66.00,65.50,65.70,16,1905,125063.40
2018-06-01,65.20,66.50,65.20,66.10,15,3109,204778.60
2018-05-31,65.20,67.00,65.10,65.80,23,7623,500368.30
2018-05-30,65.60,68.70,65.10,66.10,19,8967,592110.10
2018-05-28,65.80,68.80,65.30,66.70,59,34431,2284230.70
2018-05-25,66.10,67.00,65.80,65.80,29,6835,450726.10
2018-05-24,67.20,67.20,66.00,66.90,16,21901,1464334.80
2018-05-23,67.60,67.60,67.00,67.10,40,16551,1114432.10
2018-05-22,67.30,68.00,67.30,67.80,27,22274,1512388.80
2018-05-21,68.00,69.00,67.30,68.00,27,22400,1523074.20
2018-05-18,68.80,69.30,68.70,68.80,26,11096,765039.50
2018-05-17,69.90,70.00,68.60,70.00,56,94101,6579205.50
2018-05-16,66.90,70.00,66.90,70.00,141,64495,4453921.70
2018-05-15,65.60,66.90,65.00,65.00,33,5183,337621.50
2018-05-14,66.90,66.90,65.60,65.60,3,478,31718.20
2018-05-11,65.90,66.90,65.50,66.90,13,1378,90955.20
2018-05-10,66.00,66.90,65.60,65.70,18,2707,178532.90
2018-05-09,65.90,67.00,65.00,66.10,49,13347,876688.10
2018-05-08,70.90,72.00,70.00,70.60,134,18620,1316149.20
2018-05-04,70.00,71.00,70.00,70.50,158,32141,2254293.50
2018-05-03,71.70,72.00,70.00,70.90,63,12465,882151.60
2018-05-02,71.50,72.00,71.20,71.60,106,18304,1309826.90
2018-05-01,70.40,71.90,70.00,71.10,140,46402,3291397.30
2018-04-27,70.00,70.30,70.00,70.00,35,5589,391512.00
2018-04-26,70.00,70.00,69.50,69.90,20,3812,265070.80
2018-04-25,70.00,70.00,69.20,69.90,57,4801,334983.70
2018-04-24,69.90,69.90,69.50,69.50,38,5871,408262.70
2018-04-23,70.00,70.90,69.90,69.90,71,20735,1452852.60
2018-04-20,69.90,70.20,69.90,70.00,27,11483,803848.30
2018-04-19,70.20,70.50,69.70,69.70,53,4244,297279.80
2018-04-18,69.30,70.20,68.60,69.00,32,10337,717801.60
